Accession,Length,Host
NC_036877,1723,Homo sapiens
NC_036636,12063,Rousettus aegyptiacus
NC_036615,2330,Sus scrofa
NC_036616,2364,Sus scrofa
NC_036617,1775,Sus scrofa
NC_036618,2049,Sus scrofa
NC_036619,2195,Sus scrofa
NC_036620,1219,Sus scrofa
NC_036621,868,Sus scrofa
NC_036634,1570,Vaccinium
NC_036635,7963,Vaccinium
NC_036582,293123,Phoenicoparrus minor
NC_036583,6861,Rattus norvegicus
NC_036585,9283,Armigeres
NC_036587,6692,Vasconcellea x heilbornii
NC_036589,4990,Zea mays
NC_036590,13156,Rosellinia necatrix
NC_036591,2873,Solanum lycopersicum
NC_036592,2255,Chrysotila carterae
NC_036593,648,Sus scrofa
NC_036595,18222,Aeropyrum pernix
NC_036596,3524,Fusarium graminearum
NC_036597,8999,Oryza sativa
NC_036598,3620,Oryza sativa
NC_036599,1998,Oryza sativa
NC_036600,2374,Rosellinia necatrix
NC_036601,2470,Fusarium graminearum
NC_036602,2299,Oryza sativa
NC_036603,2445,Rosellinia necatrix
NC_036604,6430,Haemaphysalis flava
NC_036605,3151,Haemaphysalis flava
NC_036606,1868,Haemaphysalis flava
NC_036607,8914,Lactuca sativa
NC_036608,4734,Lactuca sativa
NC_036609,3146,Lactuca sativa
NC_036468,3934,Salmo salar
NC_036469,2383,Salmo salar
NC_036470,2179,Salmo salar
NC_036471,2403,Salmo salar
NC_036472,1081,Salmo salar
NC_036473,1329,Salmo salar
NC_036474,1141,Salmo salar
NC_036475,1040,Salmo salar
NC_036476,3911,Salmo salar
NC_036477,3916,Salmo salar
NC_036389,9932,Cherax quadricarinatus
NC_036390,12426,Zea mays
NC_035935,3235,Vitis vinifera
NC_035936,3781,Vitis vinifera
NC_035937,1541,Vitis vinifera
NC_035938,1959,Vitis vinifera
NC_035939,1639,Vitis vinifera
NC_035889,10808,Homo sapiens
NC_031957,10869,Anopheles quadrimaculatus
NC_031958,10735,Culicidae
NC_031959,5371,Bos taurus
NC_031960,7018,Nigrospora oryzae
NC_031961,2613,Phaseolus vulgaris
NC_032807,4268,Odonata
NC_033133,11931,Tetragnatha maxillosa
NC_034160,2347,Zalophus californianus
NC_034161,1688,Zalophus californianus
NC_035072,29812,Rousettus leschenaultii
NC_035887,2609,Phaseolus vulgaris
NC_035888,2567,Phaseolus vulgaris
NC_035797,142974,Sciurus vulgaris
NC_035798,8681,Salvelinus fontinalis
NC_035799,2113,Vespertilio sinensis
NC_035779,7964,Falco vespertinus
NC_035674,6203,Anopheles hinesorum
NC_035675,6564,Pimephales promelas
NC_035676,2611,Solanum lycopersicum
NC_035758,6339,Homo sapiens
NC_035759,6681,Citrus sinensis
NC_035450,11851,Lasius neglectus
NC_035460,176688,Eptesicus fuscus
NC_035619,30620,Odocoileus hemionus columbianus
NC_035620,304,Litchi chinensis
NC_035451,5772,Triticum aestivum
NC_035452,4832,Oryza sativa
NC_035453,18848,Actinidia chinensis
NC_035454,2703,Citrus sinensis
NC_035455,12102,Solenopsis invicta
NC_035456,11092,Lasius niger
NC_035457,11900,Myrmica scabrinodis
